lab,grp,metric,year,v,pct
CAPC 2015,World,Gross CO₂,2055,15124.36598574214,-65.0997620335916
CAPC 2015,World,Net CO₂,2055,7833.043121227576,-81.52379414362781
CAPC 2025,Higher resp.,Gross CO₂,2055,5057.957877592337,-83.06404613190945
CAPC 2025,Higher resp.,Net CO₂,2055,1645.7948748898032,-94.40129079754114
CAPC 2025,Lower resp.,Gross CO₂,2055,9648.749214243584,-24.751812372689074
CAPC 2025,Lower resp.,Net CO₂,2055,5951.163196811293,-51.816772778064646
CAPC 2025,World,Gross CO₂,2055,15314.16205164328,-64.66179803091656
CAPC 2025,World,Net CO₂,2055,8227.026078329953,-80.59448606927306
ECPC 1990,Higher resp.,Gross CO₂,2055,4542.588821800567,-84.78969643686723
ECPC 1990,Higher resp.,Net CO₂,2055,1041.9915351844297,-96.45532521340976
ECPC 1990,Lower resp.,Gross CO₂,2055,10502.147264562076,-18.096373912712316
ECPC 1990,Lower resp.,Net CO₂,2055,6980.293293989203,-43.48448416937302
ECPC 1990,World,Gross CO₂,2055,15640.88746051779,-63.907862657351664
ECPC 1990,World,Net CO₂,2055,8641.179097618424,-79.6176018210969
ECPC 2015,Higher resp.,Gross CO₂,2055,6312.819073294823,-78.86229676277658
ECPC 2015,Higher resp.,Net CO₂,2055,3058.5392411379776,-89.59537907384278
ECPC 2015,Lower resp.,Gross CO₂,2055,8590.352760607619,-33.00598223024021
ECPC 2015,Lower resp.,Net CO₂,2055,4902.809931178261,-60.30470058920583
ECPC 2015,World,Gross CO₂,2055,15503.33609255781,-64.22526938229696
ECPC 2015,World,Net CO₂,2055,8586.112210206253,-79.74749095000259
ECPC 2015*,Higher resp.,Gross CO₂,2055,5360.307148530202,-82.05166654540884
ECPC 2015*,Higher resp.,Net CO₂,2055,2034.916392061868,-93.07756677074718
ECPC 2015*,Lower resp.,Gross CO₂,2055,9643.956791831812,-24.789187279303704
ECPC 2015*,Lower resp.,Net CO₂,2055,6075.598644196873,-50.80928882281787
ECPC 2015*,World,Gross CO₂,2055,15602.56817279958,-63.99628634805907
ECPC 2015*,World,Net CO₂,2055,8728.843702073349,-79.41082276305275
ECPC 2025,Higher resp.,Gross CO₂,2055,5892.817350944558,-80.26862120564218
ECPC 2025,Higher resp.,Net CO₂,2055,2719.6522040290165,-90.74821409733438
ECPC 2025,Lower resp.,Gross CO₂,2055,9358.106587583725,-27.018461698708485
ECPC 2025,Lower resp.,Net CO₂,2055,5736.68687605,-53.55326713306794
ECPC 2025,World,Gross CO₂,2055,15846.80748740636,-63.43269180078583
ECPC 2025,World,Net CO₂,2055,9076.828761948716,-78.59001231918127
Source,Higher resp.,Gross CO₂,2055,7663.23698043528,-74.34058742247245
Source,Higher resp.,Net CO₂,2055,4435.8269634861945,-84.91008471353506
Source,Lower resp.,Gross CO₂,2055,7022.90631676426,-45.23010594650086
Source,Lower resp.,Net CO₂,2055,3271.31562498699,-73.51399401080587
Source,World,Gross CO₂,2055,15285.14328145669,-64.72876030794419
Source,World,Net CO₂,2055,8332.12864883584,-80.3465751745356
CAPC 1990,Higher resp.,Gross CO₂,2060,3770.8118112376146,-87.37389744519372
CAPC 1990,Higher resp.,Net CO₂,2060,-423.85634567071224,-101.44188589916838
CAPC 1990,Lower resp.,Gross CO₂,2060,9379.702186287617,-26.85004301281335
CAPC 1990,Lower resp.,Net CO₂,2060,5086.53726034925,-58.8171635555939
CAPC 1990,World,Gross CO₂,2060,13723.24968693667,-68.33290861924168
CAPC 1990,World,Net CO₂,2060,5257.050571855889,-87.59992163202257
CAPC 2015,Higher resp.,Gross CO₂,2060,2592.141663354999,-91.32053040128658
CAPC 2015,Higher resp.,Net CO₂,2060,-1781.2557784724054,-106.05952374200595
CAPC 2015,Lower resp.,Gross CO₂,2060,10226.995057460263,-20.242217321669564
CAPC 2015,Lower resp.,Net CO₂,2060,5935.473072993289,-51.94380690165721
CAPC 2015,World,Gross CO₂,2060,13433.08623460401,-69.00247543249593
CAPC 2015,World,Net CO₂,2060,4752.129353101087,-88.79090554907549
CAPC 2025,Higher resp.,Gross CO₂,2060,3711.7113040228564,-87.57178827149026
CAPC 2025,Higher resp.,Net CO₂,2060,-363.95854106893194,-101.23812393894627
CAPC 2025,Lower resp.,Gross CO₂,2060,9407.834937012278,-26.63064270941686
CAPC 2025,Lower resp.,Net CO₂,2060,5108.300126072644,-58.64096185023442
CAPC 2025,World,Gross CO₂,2060,13711.85649826514,-68.35919897721155
CAPC 2025,World,Net CO₂,2060,5354.914970910765,-87.36908378842027
ECPC 1990,Higher resp.,Gross CO₂,2060,3232.0746768298127,-89.17779290580616
ECPC 1990,Higher resp.,Net CO₂,2060,-1026.3753186985991,-103.49155112198247
ECPC 1990,Lower resp.,Gross CO₂,2060,9895.271323131785,-22.829247956099664
ECPC 1990,Lower resp.,Net CO₂,2060,5837.949763186996,-52.73339838830129
ECPC 1990,World,Gross CO₂,2060,13705.32631021441,-68.37426771577228
ECPC 1990,World,Net CO₂,2060,5401.540934090721,-87.25910470613614
ECPC 2015,Higher resp.,Gross CO₂,2060,4939.339224883756,-83.4612261952444
ECPC 2015,Higher resp.,Net CO₂,2060,1033.5295147248974,-96.48411154185264
ECPC 2015,Lower resp.,Gross CO₂,2060,7737.880382873143,-39.65420160070215
ECPC 2015,Lower resp.,Net CO₂,2060,3408.3916636465797,-72.4041662848654
ECPC 2015,World,Gross CO₂,2060,13254.760506002,-69.41397105284857
ECPC 2015,World,Net CO₂,2060,5042.419577638428,-88.10618291144448
ECPC 2015*,Higher resp.,Gross CO₂,2060,4063.2494448307807,-86.39470576513469
ECPC 2015*,Higher resp.,Net CO₂,2060,123.61391326863401,-99.5794868702484
ECPC 2015*,Lower resp.,Gross CO₂,2060,9034.66487757474,-29.540902891948928
ECPC 2015*,Lower resp.,Net CO₂,2060,4911.704084260416,-60.232689625175496
ECPC 2015*,World,Gross CO₂,2060,13679.3701166083,-68.43416294274638
ECPC 2015*,World,Net CO₂,2060,5632.86871901753,-86.71345983881459
ECPC 2025,Higher resp.,Gross CO₂,2060,4430.409493469202,-85.16531520941378
ECPC 2025,Higher resp.,Net CO₂,2060,645.314358242587,-97.80475228651231
ECPC 2025,Lower resp.,Gross CO₂,2060,8692.776679841272,-32.207203640302254
ECPC 2025,Lower resp.,Net CO₂,2060,4506.709238225838,-63.51170551582568
ECPC 2025,World,Gross CO₂,2060,13701.72130467122,-68.38258644803823
ECPC 2025,World,Net CO₂,2060,5753.395494303146,-86.42916707073995
Source,Higher resp.,Gross CO₂,2060,6377.871303285876,-78.64447732006717
Source,Higher resp.,Net CO₂,2060,2535.3163043246623,-91.37529291120383
Source,Lower resp.,Gross CO₂,2060,6179.222912332589,-51.809782307142996
Source,Lower resp.,Net CO₂,2060,1728.0045080593259,-86.009317657939
Source,World,Gross CO₂,2060,13134.37829876941,-69.69175907274305
Source,World,Net CO₂,2060,4866.814650029253,-88.52039137955667
CAPC 1990,Higher resp.,Gross CO₂,2070,1327.4557861668964,-95.55517651579297
CAPC 1990,Higher resp.,Net CO₂,2070,-4361.780032624821,-114.8380204485647
CAPC 1990,Lower resp.,Gross CO₂,2070,7840.345003060878,-38.85510559417875
CAPC 1990,Lower resp.,Net CO₂,2070,2093.9651722854633,-83.0463396222927
CAPC 1990,World,Gross CO₂,2070,9670.171805687904,-77.68559042324704
CAPC 1990,World,Net CO₂,2070,-1796.844483709795,-104.2383104572653
CAPC 2015,Higher resp.,Gross CO₂,2070,1046.1286620231863,-96.49716601267039
